rent_price,area,build_area,rooms,baths,garages,city
500000,45.0,45.0,1.0,1,0.0,Barranquilla
500000,36.0,36.0,1.0,1,0.0,Ubate
500000,25.0,25.0,1.0,1,1.0,Guaduas
500000,45.0,45.0,1.0,1,0.0,Cartagena de Indias
500000,50.0,50.0,1.0,1,0.0,Palmira
500000,56.0,60.0,2.0,1,0.0,Jamundi
500000,30.0,30.0,1.0,1,1.0,Cali
500000,30.0,30.0,1.0,1,1.0,Cali
500000,50.0,50.0,3.0,1,0.0,Soacha
500000,38.0,38.0,1.0,1,0.0,Manizales
500000,75.0,75.0,2.0,2,1.0,Cali
500000,25.0,25.0,1.0,1,1.0,Cali
500000,50.0,50.0,3.0,1,0.0,Soacha
500000,22.0,22.0,1.0,1,0.0,Manizales
500000,35.0,35.0,2.0,1,1.0,Carepa
500000,30.0,30.0,1.0,1,0.0,Itagui
500000,43.0,43.0,2.0,1,0.0,Soacha
500000,43.84,43.84,3.0,1,0.0,Yumbo
500000,40.0,40.0,1.0,1,0.0,Bello
500000,60.0,60.0,3.0,1,0.0,Cali
500000,40.0,40.0,2.0,1,0.0,Bogotá D.C.
499000,51.0,51.0,3.0,1,0.0,Soacha
499000,35.0,35.0,1.0,1,0.0,Barranquilla
490000,55.0,55.0,2.0,1,0.0,Cali
490000,48.0,48.0,2.0,1,0.0,Cali
490000,57.0,57.0,2.0,1,0.0,Cali
490000,55.0,55.0,2.0,1,0.0,Cali
480000,60.0,60.0,2.0,1,0.0,Jamundi
480000,48.0,48.0,2.0,1,0.0,Bello
480000,45.0,45.0,2.0,2,0.0,Jamundi
480000,43.0,43.0,1.0,1,0.0,Cali
480000,20.0,20.0,1.0,1,0.0,Pereira
480000,60.0,60.0,2.0,1,1.0,Cali
480000,55.0,55.0,3.0,2,0.0,Cali
470000,43.0,43.0,1.0,1,1.0,Cali
470000,37.0,37.0,2.0,1,0.0,Soacha
470000,16.0,16.0,1.0,1,0.0,Bogotá D.C.
470000,43.0,43.0,2.0,1,0.0,Soacha
460000,45.0,45.0,2.0,1,0.0,Cali
460000,45.0,45.0,2.0,1,0.0,Cali
450000,31.0,31.0,2.0,1,0.0,Manizales
450000,33.0,33.0,1.0,1,0.0,Bello
450000,31.0,31.0,2.0,1,0.0,Manizales
450000,27.0,27.0,1.0,1,0.0,Cali
450000,40.0,40.0,2.0,1,0.0,Cali
450000,102.0,102.0,2.0,2,0.0,Cerete
450000,38.0,38.0,1.0,1,0.0,Manizales
450000,50.0,50.0,2.0,1,0.0,Manizales
450000,45.0,45.0,1.0,1,0.0,Cali
450000,35.0,35.0,1.0,1,0.0,Cali
450000,102.0,102.0,3.0,3,0.0,Cerete
450000,40.0,40.0,1.0,1,0.0,Montería
450000,70.0,70.0,2.0,1,1.0,Cali
450000,20.0,20.0,1.0,1,0.0,Pasto
450000,40.0,40.0,2.0,2,1.0,Jamundi
450000,25.0,25.0,1.0,1,0.0,Itagui
450000,42.0,42.0,2.0,1,0.0,Villamaria
450000,35.0,35.0,1.0,1,0.0,Manizales
450000,25.0,25.0,1.0,1,1.0,Barranquilla
450000,25.0,25.0,1.0,1,0.0,Manizales
450000,103.0,103.0,2.0,2,0.0,Cerete
450000,14.0,14.0,1.0,1,0.0,Bogotá D.C.
442000,18.0,18.0,1.0,1,0.0,Manizales
440000,30.0,30.0,1.0,1,0.0,Cali
438000,42.0,42.0,2.0,1,0.0,Soacha
435500,38.0,38.0,2.0,1,0.0,Soacha
430000,65.0,65.0,1.0,1,0.0,Bogotá D.C.
430000,44.0,44.0,2.0,1,0.0,Soacha
420000,55.0,55.0,1.0,1,1.0,Cali
420000,21.0,21.0,1.0,1,0.0,Manizales
420000,20.0,20.0,1.0,1,0.0,Cali
420000,93.0,93.0,1.0,1,0.0,Montería
415000,45.0,45.0,1.0,1,0.0,Bogotá D.C.
410000,25.0,25.0,1.0,1,1.0,Cali
400000,20.0,20.0,1.0,1,0.0,Manizales
400000,25.0,25.0,1.0,1,0.0,Santa Rosa De Cabal
400000,25.0,25.0,1.0,1,0.0,Santa Rosa De Cabal
400000,46.0,46.0,2.0,1,0.0,Soacha
400000,25.0,25.0,1.0,1,0.0,Santa Rosa De Cabal
400000,70.0,68.0,3.0,2,0.0,Espinal
400000,30.0,40.0,1.0,1,0.0,Cali
400000,14.0,14.0,1.0,1,0.0,Funza
400000,10.0,10.0,1.0,1,0.0,Villavicencio
400000,10.0,12.0,1.0,1,1.0,Villavicencio
400000,25.0,25.0,1.0,1,0.0,Santa Rosa De Cabal
400000,25.0,25.0,1.0,1,0.0,Santa Rosa De Cabal
400000,70.0,65.0,2.0,1,0.0,Candelaria
400000,70.0,75.0,3.0,2,0.0,Giron
400000,72.0,72.0,2.0,1,0.0,Soledad
400000,20.0,20.0,1.0,1,0.0,Manizales
400000,60.0,60.0,1.0,1,1.0,Cali
399000,60.0,60.0,2.0,1,0.0,Barranquilla
395000,10.0,10.0,1.0,1,0.0,Cali
380000,30.0,30.0,2.0,1,0.0,Bogotá D.C.
380000,77.0,88.0,2.0,2,2.0,Calima
380000,40.0,1600.0,1.0,1,0.0,Ibagué
380000,30.0,30.0,1.0,1,1.0,Cali
380000,45.0,45.0,2.0,1,0.0,Jamundi
370000,12.0,12.0,5.0,2,0.0,Bogotá D.C.
370000,36.0,40.0,1.0,1,0.0,Cali
370000,18.0,18.0,1.0,1,0.0,Manizales
350000,50.0,100.0,1.0,1,0.0,Ubate
350000,25.0,25.0,1.0,1,0.0,Medellín
350000,83.53,83.53,3.0,2,2.0,Santa Marta
350000,144.0,144.0,3.0,1,1.0,Jamundi
330000,23.0,23.0,1.0,1,0.0,Cali
300000,125.0,125.0,1.0,1,0.0,Cerete
300000,200.0,200.0,1.0,1,1.0,Palmira
300000,98.0,98.0,1.0,1,0.0,Cerete
300000,35.0,35.0,1.0,1,0.0,Cerete
300000,98.0,98.0,1.0,1,0.0,Cerete
280000,55.0,55.0,1.0,1,0.0,Santa Marta
279000,10.0,10.0,1.0,1,1.0,Cali
269000,10.0,10.0,1.0,1,0.0,Cali
150000,190.0,20.0,2.0,2,1.0,Cartagena de Indias
140000,58.0,62.0,1.0,1,1.0,Barranquilla
120000,85.0,85.0,3.0,2,0.0,Bogotá D.C.
111111,125.0,125.0,3.0,2,1.0,Medellín
111111,56.0,56.0,1.0,1,2.0,Medellín
111111,90.0,90.0,3.0,2,1.0,Medellín
111111,45.0,45.0,1.0,1,1.0,Medellín
111111,110.0,110.0,2.0,2,2.0,Medellín
111111,54.0,54.0,1.0,2,2.0,Medellín
111111,85.0,85.0,3.0,2,1.0,Medellín
111111,45.0,45.0,1.0,2,0.0,Medellín
111111,80.0,80.0,2.0,2,1.0,Medellín
111111,63.0,63.0,2.0,2,1.0,Medellín
111111,50.0,50.0,2.0,2,0.0,La Estrella
111111,70.0,70.0,2.0,2,0.0,Medellín
111111,98.0,98.0,3.0,2,2.0,Envigado
111111,47.0,47.0,2.0,1,1.0,Medellín
111111,58.0,58.0,1.0,2,2.0,Medellín
111111,65.0,65.0,2.0,2,0.0,Sabaneta
111111,80.0,80.0,2.0,2,0.0,Medellín
111111,77.0,77.0,1.0,2,2.0,Medellín
111111,54.0,54.0,1.0,2,2.0,Medellín
111111,110.0,110.0,1.0,1,2.0,Medellín
111111,25.0,25.0,1.0,1,0.0,Medellín
111111,82.0,82.0,3.0,2,1.0,Medellín
111111,40.0,40.0,1.0,1,0.0,Medellín
111111,90.0,90.0,1.0,2,2.0,Medellín
111111,85.0,85.0,3.0,2,1.0,Medellín
111111,68.0,68.0,1.0,2,0.0,Medellín
111111,18.0,18.0,1.0,1,0.0,Medellín
111111,65.0,65.0,2.0,2,2.0,Sabaneta
111111,180.0,180.0,3.0,5,2.0,Medellín
111111,118.0,118.0,3.0,2,2.0,Sabaneta
111111,110.0,110.0,4.0,3,1.0,Medellín
111111,215.0,215.0,3.0,4,1.0,Medellín
111111,70.0,70.0,2.0,2,2.0,Medellín
111111,56.0,56.0,2.0,1,2.0,Medellín
111111,70.0,70.0,2.0,2,2.0,Envigado
111111,65.0,65.0,2.0,2,0.0,Medellín
111111,95.0,95.0,3.0,2,2.0,Envigado
111111,79.0,79.0,3.0,2,0.0,Envigado
111111,60.0,60.0,1.0,1,1.0,Itagui
